Adm0Name_en,Adm0_Pcode,Adm1Name_en,admin1Pcode,Total_Pop,Area,T_00_04,T_04_17,T_18_65,T_66plus,M,M_00_04,M_05_17,M_18_64,M_66plus
Thailand,TH,Bangkok,TH10,5682415,1565,236056,785009,3866614,603623,2682962,121342,400100,1809246,244788
Thailand,TH,Nonthaburi,TH12,1229735,622,56755,171196,854534,127269,574500,29262,87683,391881,54721
Thailand,TH,Pathum Thani,TH13,1129115,1526,59799,177020,788225,86056,536033,30753,90547,368070,36204
Thailand,TH,Phra Nakhon Si Ayutthaya,TH14,813852,2557,40908,121930,553415,89146,392083,21008,62936,266855,36346
Thailand,TH,Ang Thong,TH15,281187,968,12408,39991,188929,36915,134830,6361,20614,91437,14781
Thailand,TH,Lop Buri,TH16,757273,6200,34870,109188,514031,82622,379618,17947,56323,258676,35700
Thailand,TH,Sing Buri,TH17,210088,822,8854,28624,140532,29655,100132,4668,14602,67534,12006
Thailand,TH,Chai Nat,TH18,329722,2470,14633,45450,221713,44272,158773,7499,23382,107429,18560
Thailand,TH,Saraburi,TH19,642040,2576,33897,99930,434769,60839,316489,17464,51511,214170,25544
Thailand,TH,Samut Prakan,TH11,1310766,1004,68136,200316,906452,108427,627493,35183,102406,429818,44949
Thailand,TH,Chon Buri,TH20,1509125,4363,91581,249178,1016294,113911,738943,47321,127757,491701,47810
Thailand,TH,Rayong,TH21,711236,3552,43114,122300,479258,53207,349775,22087,62596,234608,22711
Thailand,TH,Chanthaburi,TH22,534459,6338,28011,81700,361747,56106,261887,14271,42026,177109,24653
Thailand,TH,Trat,TH23,229649,2819,11355,34541,147683,23262,114140,5797,17958,73156,10670
Thailand,TH,Chachoengsao,TH24,709889,5351,38969,112716,476380,73222,347984,19939,57870,234486,30988
Thailand,TH,Kanchanaburi,TH71,887979,19483,44590,133426,548068,74366,446262,23044,68628,275235,32607
Thailand,TH,Nakhon Nayok,TH26,259342,2122,12842,38234,174645,30794,128236,6726,19938,87121,12858
Thailand,TH,Sa Kaeo,TH27,561938,7195,32140,95097,376815,46302,281497,16569,48851,189225,20651
Thailand,TH,Nong Khai,TH43,521886,3027,26438,82693,357132,44513,259983,13575,42418,178403,19890
Thailand,TH,Nakhon Ratchasima,TH30,2639226,20494,134288,412641,1796364,268331,1301249,68797,212545,887217,117032
Thailand,TH,Buri Ram,TH31,1591905,10322,86587,269493,1065722,150290,792963,44651,138925,532343,66119
Thailand,TH,Si Sa Ket,TH33,1472031,8840,76677,238633,1001921,136961,734728,39134,122768,503240,59819
Thailand,TH,Ubon Ratchathani,TH34,1869633,15745,102284,314868,1264479,159872,936052,52275,161939,635194,71545
Thailand,TH,Yasothon,TH35,539542,4162,25921,80322,377478,52569,270412,13419,41377,190425,23248
Thailand,TH,Chaiyaphum,TH36,1139356,12778,57144,174100,776139,118409,565245,29271,89714,386487,52376
Thailand,TH,Amnat Charoen,TH37,378107,3161,19434,59489,261657,33779,188737,9904,30577,131388,14903
Thailand,TH,Prachin Buri,TH25,487544,4762,27244,77000,328736,48080,241281,14076,39697,163161,20207
Thailand,TH,Nong Bua Lam Phu,TH39,511641,3859,27195,83091,355502,40785,256009,13892,42781,178536,18009
Thailand,TH,Khon Kaen,TH40,1805910,10886,88800,267255,1257585,179079,890486,45955,137676,618603,79698
Thailand,TH,Udon Thani,TH41,1583092,11730,81853,252909,1093433,126644,787877,41955,129404,544532,55736
Thailand,TH,Loei,TH42,641666,11425,34313,99312,435998,62647,322592,17713,50824,219700,29713
Thailand,TH,Bueng Kan,TH38,423032,4306,24493,76333,286783,31986,212806,12709,39143,144417,14688
Thailand,TH,Maha Sarakham,TH44,963072,5292,45046,138250,677929,93969,472797,23253,70879,333440,40767
Thailand,TH,Roi Et,TH45,1307911,8299,62402,191357,916194,128983,651348,32033,98512,459272,55945
Thailand,TH,Kalasin,TH46,986005,6947,48962,149911,690725,88956,489770,25226,76954,344861,38558
Thailand,TH,Sakon Nakhon,TH47,1149472,9606,62223,193688,795666,88215,573346,31982,99011,398039,38815
Thailand,TH,Mukdahan,TH49,350782,4340,18905,57184,240612,28259,175649,9571,29313,121063,12688
Thailand,TH,Chiang Mai,TH50,1746840,20107,79285,224835,1126215,171465,847521,40737,115484,539138,77382
Thailand,TH,Lamphun,TH51,405918,4506,16881,48480,286731,48575,196184,8597,24872,138016,21943
Thailand,TH,Lampang,TH52,746547,12534,27110,85248,533491,91604,365389,13874,43565,261628,41562
Thailand,TH,Uttaradit,TH53,457092,7839,19100,63954,314442,55333,224150,9877,33106,154659,24199
Thailand,TH,Phrae,TH54,447564,6539,16333,53615,320002,54612,216655,8350,27582,155776,23311
Thailand,TH,Nan,TH55,479838,11472,22646,65712,339165,48886,241149,11648,33848,171058,22978
Thailand,TH,Phayao,TH56,477100,6335,19066,58374,343345,50468,233093,9837,29926,167027,23340
Thailand,TH,Chiang Rai,TH57,1287615,11678,59828,169873,815930,113679,628897,30856,87181,397754,52855
Thailand,TH,Mae Hong Son,TH58,279088,12681,15965,46919,150901,19343,142213,8165,24212,76863,9511
Thailand,TH,Nakhon Sawan,TH60,1065334,9598,49137,154690,714106,125167,520575,25430,79582,349871,53597
Thailand,TH,Uthai Thani,TH61,329942,6730,16536,50581,220255,39197,161758,8445,26184,108291,17046
Thailand,TH,Kamphaeng Phet,TH62,729133,8607,36676,115121,491248,72135,361558,19124,59494,243686,32014
Thailand,TH,Tak,TH63,644267,16407,37819,111221,338087,42927,326474,19439,56914,170663,19615
Thailand,TH,Sukhothai,TH64,599319,6596,26803,84598,411439,69565,291620,13764,44000,201362,28883
Thailand,TH,Phitsanulok,TH65,865368,10816,41078,123972,596579,90846,423986,21126,63617,292877,39338
Thailand,TH,Phichit,TH66,541868,4531,24677,80018,367289,65063,265030,12683,41514,180624,27627
Thailand,TH,Phetchabun,TH67,995331,12668,50076,152686,676892,102176,492647,25856,78684,335921,44746
Thailand,TH,Ratchaburi,TH70,871714,5196,41190,128988,574389,95881,425159,21289,65998,280620,39795
Thailand,TH,Surin,TH32,1397180,8124,75256,231160,933144,135076,697402,38592,118979,468211,58740
Thailand,TH,Suphan Buri,TH72,852003,5358,40582,125629,572222,103727,412089,20879,64563,278257,43043
Thailand,TH,Nakhon Pathom,TH73,911492,2168,45221,135752,626483,89293,437230,23161,69874,299346,36630
Thailand,TH,Samut Sakhon,TH74,568465,872,29277,85084,368750,48133,274645,15154,43442,176222,20114
Thailand,TH,Samut Songkhram,TH75,193902,417,7879,26297,130027,26986,93084,4105,13666,63119,10721
Thailand,TH,Phetchaburi,TH76,482375,6225,23909,71340,324471,53865,233665,12294,36790,157118,22410
Thailand,TH,Prachuap Khiri Khan,TH77,543979,6368,29384,86262,359418,50940,269102,15146,44501,176469,22301
Thailand,TH,Nakhon Phanom,TH48,718028,5513,38050,122931,491879,59624,358311,19629,62800,247060,25786
Thailand,TH,Nakhon Si Thammarat,TH80,1557482,9943,88873,256391,1024211,168372,770997,45650,132179,511593,70487
Thailand,TH,Krabi,TH81,469769,4709,33780,94331,305151,31983,233442,17316,48557,150649,14307
Thailand,TH,Phangnga,TH82,267491,4171,15210,45676,174644,26208,133423,7761,23427,87152,11946
Thailand,TH,Phuket,TH83,402017,543,27219,73707,262270,24749,190219,13992,37650,120209,10680
Thailand,TH,Surat Thani,TH84,1057581,12891,65059,182846,698838,94740,521993,33476,93903,345353,40075
Thailand,TH,Ranong,TH85,190399,3298,10478,31421,118514,15270,96232,5414,16146,60029,7038
Thailand,TH,Chumphon,TH86,509650,6009,27296,80563,340096,52969,252415,14143,41520,169037,22843
Thailand,TH,Songkhla,TH90,1424230,7394,89176,254570,921391,131486,694803,45859,130844,446871,55672
Thailand,TH,Satun,TH91,319700,2479,23977,65421,204068,23833,158832,12419,33536,100846,10668
Thailand,TH,Trang,TH92,643072,4918,37097,112116,428022,59594,314856,19131,57933,209497,24744
Thailand,TH,Phatthalung,TH93,524857,3424,28565,83560,347979,60865,255997,14770,42839,170873,25367
Thailand,TH,Pattani,TH94,709796,1940,61530,160460,422709,55509,351250,31436,82068,209524,23112
Thailand,TH,Yala,TH95,527295,4521,44903,118461,318226,39358,262057,23274,60999,157167,17250
Thailand,TH,Narathiwat,TH96,796239,4475,65524,176111,485967,55570,393837,33355,90671,238697,24060